nome,instagram,categoria_principal,categorias_exibicao,subcategoria_final,acao_sugerida,observacao,posts_no_ano,ultimo_post,telefone,endereco,ja_no_guia,resumo,links_posts
Studiovitabemestar,@studiovitabemestar,Saude & Clinicas,"Saude & Clinicas | Academias, Esportes & Bem-Estar",Pilates/Fisioterapia,Listar,,1,2026-05-06,11993344116,"Rua Engenheiro Jorge Oliva, 424.; Rua Engenheiro Jorge Oliva, 424",não,"🎫 50% OFF NA PRIMEIRA MENSALIDADE Se você está pensando em começar Pilates ou já faz e quer evoluir, precisa conhecer o @studiovitabemestar, que fica aqui na Mascote. 💪😉 São mais de 13 anos de história, com aulas feitas por fisioterapeutas e acompanhamento bem próximo, no máximo 3 alunos por horário, então dá para fazer tudo com atenção, sem ficar perdido na aula. ✅ E no mesmo espaço, tem a @vitabemestar, que oferece",https://www.instagram.com/p/DYAF_6ROxqZ/
Vanessapieri,@vanessapieri,Saude & Clinicas,Saude & Clinicas,Psicologia / terapias,Listar,,1,2025-11-16,11948762438,,não,"A @vanessapieri, da @ecco.ah_psicanalise, é nossa vizinha e psicanalista com mais de 05 anos de experiência, trabalha com a abordagem Junguiana e atende quem busca compreender melhor suas emoções, padrões e conflitos internos.💞🤝 Arrasta pro lado pra ver. 👉 Pra quem ainda não conhece, a psicanálise é um processo terapêutico que ajuda a entender o que está no nosso inconsciente, aquelas emoções, desejos e lembranças qu",https://www.instagram.com/p/DRIUXz1jhnL/
Vollstudiosvilamascote,@vollstudiosvilamascote,Saude & Clinicas,"Saude & Clinicas | Academias, Esportes & Bem-Estar",Pilates/Fisioterapia,Listar,,12,2026-05-11,11913731530,"Avenida Mascote, 486, salas 14 e 15; Avenida Mascote, 486, sala 14; Avenida Mascote, 486 sala 14",sim,"🎫CONDIÇÕES ESPECIAIS PARA OS NOSSOS SEGUIDORES Se você quer ter uma rotina mais saudável, a gente indica a @vollstudiosvilamascote.🤩💪 O Pilates melhora a postura, o alongamento e ainda fortalece o corpo. Além da estrutura completa e do acompanhamento profissional, o studio aceita TotalPass e Wellhub (Gympass), o que facilita muito a rotina de quem quer treinar.✅🏋‍♀ As profissionais do espaço são todas fisioterapeutas",https://www.instagram.com/p/DYNedBwJbOp/; https://www.instagram.com/p/DXFZRg-jdPI/; https://www.instagram.com/p/DVrUJD6Dwhx/; https://www.instagram.com/p/DUjNAHkAWy1/; https://www.instagram.com/p/DTbJuEujjHq/; https://www.instagram.com/p/DSBAMVLAaTu/; https://www.instagram.com/p/DRNeGW9gSZs/; https://www.instagram.com/p/DQC4Gczjoi6/; https://www.instagram.com/p/DOownImjsg3/; https://www.instagram.com/p/DNgm84kOO37/; https://www.instagram.com/p/DMYiEWquHbB/; https://www.instagram.com/p/DLA4Jy8u2cP/
Arranjosexpress Vilamascote,@arranjosexpress_vilamascote,Servicos para Casa,"Moda, Calcados & Acessorios | Servicos para Casa",Limpeza de estofados,Listar,,9,2026-02-05,11956841848; 1132840621,"Av. Mascote, 490 - Loja 2; Av. Mascote, 490- Loja 2; Av. Mascote, 490- - Loja 2",não,"🎫 10% OFF EM QUALQUER SERVIÇO A @arranjosexpress_vilamascote está comemorando 1 ano aqui no bairro. 🎈🥳 Especialista em sapataria e costura express, a loja também faz customização de roupas, conserto de bolsas e malas, revitalização de sapatos e tênis, impermeabilização e engraxe. E tem até um cantinho reservado pra quem precisa fazer ajustes com mais privacidade, direto com a costureira. 🧵👟 Precisa de customização pa",https://www.instagram.com/p/DUYUdjQDuh7/; https://www.instagram.com/p/DTfsrCUDT9a/; https://www.instagram.com/p/DRzgMspjs-z/; https://www.instagram.com/p/DQr9slXDgrq/; https://www.instagram.com/p/DPe03lDjvcW/; https://www.instagram.com/p/DOWHO4gju_b/; https://www.instagram.com/p/DM0Qdnvu_A-/; https://www.instagram.com/p/DLz2PwCuzpX/; https://www.instagram.com/p/DKw96WmM8hw/
Ecoville Vilamascotesp,@ecoville.vilamascotesp,Servicos para Casa,Servicos para Casa,Reformas,Listar,,2,2025-10-17,11999268813; 11936197956,"Av. Mascote, 493 – Vila Mascote, São Paulo/SP",não,"✨ A gente aqui na Vila Mascote adora ver quando uma empresa do bairro faz a diferença de verdade! A @ecoville.vilamascotesp não vende só produtos de limpeza — ela ensina como usar cada um de forma inteligente, pra reduzir desperdício, aumentar a eficiência e melhorar o resultado final da limpeza 💚 Acompanhamos um dos treinamentos realizados pela Ecoville Vila Mascote e vimos de perto como faz diferença quando a equip",https://www.instagram.com/p/DP6i3OLjsen/; https://www.instagram.com/p/DOrR8nIDvBz/
Especialista Limpeza,@especialista.limpeza,Servicos para Casa,Servicos para Casa,Limpeza / higienizacao,Listar,,1,2025-08-16,11936197956,"Av. Mascote, 493 – Vila Mascote, São Paulo/SP",não,"🚀 A Ecoville, maior especialista em limpeza do Brasil, chegou na Vila Mascote! 🎉 A inauguração foi um sucesso e contou com a presença de Mauro Sátros (@especialista.limpeza), o primeiro especialista em limpeza do país. O workshop foi incrível, cheio de dicas práticas para usar os produtos certos em cada situação. E ainda teve muitos brindes! 🎁✨ Na @ecoville.vilamascotesp, moradores da região encontram tudo para mante",https://www.instagram.com/p/DNbwOyxRYw9/
Lavupsp Vlmascote,@lavupsp.vlmascote,Servicos para Casa,"Servicos para Casa | Mercados, Emporios & Conveniencia",Lavanderia,Listar,,1,2025-05-31,11988279216,"Av. Damasceno Vieira, 1027",não,"A @lavupsp.vlmascote tá completando 3 meses aqui no bairro, e quem mora na Mascote já descobriu como é prático ter uma lavanderia de autoatendimento pertinho de casa.🧺☺️ Além de usar sabão Omo e amaciante Comfort nas máquinas profissionais e econômicas, o espaço ainda conta com Wi-Fi, televisão, ar-condicionado, bancos confortáveis e até área pra dobrar as roupas com calma. Um diferencial que faz toda a diferença. 🤩🫧",https://www.instagram.com/p/DKUsKfouC9d/
Lucianaserer,@lucianaserer,Servicos para Casa,"Casa, Decoracao & Organizacao | Servicos para Casa",Reformas,Listar,,1,2026-03-18,11999569053,,não,"A @lucianaserer é designer de interiores, nossa vizinha e desenvolve projetos personalizados residenciais e comerciais, sugerindo soluções criativas e funcionais que refletem o estilo de vida do cliente. 😊📐 Arraste para o lado e confira. 👉✅ Ela te assessora em todo o projeto e gerenciamento da obra e decoração, te mostrando o melhor custo x benefício do começo ao término. 🛋 😍 A Luciana inicia o projeto com o briefing",https://www.instagram.com/p/DWB4gd7DqnY/
Nils Reformas,,Servicos para Casa,Servicos para Casa,Reformas,Revisar,Sem Instagram principal extraido; validar se e estabelecimento independente.,3,2026-05-20,11970750978,,não,"Se você tá precisando fazer uma reforma, resolver aqueles reparos da casa ou até dar uma renovada no escritório, a gente tem uma sugestão. 👷🏻‍♂️🛠️ O Nilson, da Nils Reformas, já atende a Mascote há mais de 20 anos e é aquele tipo de profissional que muita gente do bairro acaba indicando no boca a boca. ☺️🏠 Arrasta pro lado pra ver. 👉✅ Ele faz desde pequenos reparos até serviços completos de obra e acabamento. Dá uma ",https://www.instagram.com/p/DYkI_OSjg0T/; https://www.instagram.com/p/DXIAOczFTtL/; https://www.instagram.com/p/DVd27x9gEHm/
Omolavanderia Vila Mascote,@omolavanderia_vila_mascote,Servicos para Casa,"Servicos para Casa | Mercados, Emporios & Conveniencia",Lavanderia,Listar,,1,2026-04-03,11959772577,"Avenida Santa Catarina, 851",não,"🎫 15% OFF PARA OS NOSSOS SEGUIDORES A gente foi conhecer a @omolavanderia_vila_mascote, que já está há quase 10 anos aqui no bairro. 💧☺️ A lavanderia é completa, daquelas que facilitam muito a rotina dos vizinhos. E o melhor: com toda a qualidade OMO que a gente já conhece e confia. ✅🫧🤝 Eles cuidam de tudo, desde roupas do dia a dia até peças mais delicadas como roupas sociais, cama e banho, cortinas e tapetes. E um ",https://www.instagram.com/p/DWq4nl3Dkof/
Otocleanhigienizacao,@otocleanhigienizacao,Servicos para Casa,Servicos para Casa,Limpeza de estofados,Listar,,12,2026-05-14,11934276910,,sim,"🎫 10% OFF EXCLUSIVO PARA NOSSOS SEGUIDORES! Sabe aquele cuidado com a casa que faz diferença no dia a dia? A @otocleanhigienizacao é daquelas indicações que a gente faz com tranquilidade. 🛋️✨ A empresa atende a Vila Mascote e toda a Grande SP com higienização profunda e impermeabilização de estofados, colchões e cadeiras, deixando tudo mais limpo, protegido e com aspecto renovado. E o melhor: a impermeabilização ajud",https://www.instagram.com/p/DYVWniKuIh-/; https://www.instagram.com/p/DW90GnXDbOk/; https://www.instagram.com/p/DVwkPY1jt7p/; https://www.instagram.com/p/DUl1IYJD6qF/; https://www.instagram.com/p/DTQ0iYiDpcS/; https://www.instagram.com/p/DSIxQPcgZle/; https://www.instagram.com/p/DQ9bEpsjjQ3/; https://www.instagram.com/p/DP1Wnl4jjmO/; https://www.instagram.com/p/DOtRwOqjoY_/; https://www.instagram.com/p/DNvdhka3B-b/; https://www.instagram.com/p/DMbJ6szRjfu/; https://www.instagram.com/p/DLTF8AnRltB/
Restauratto,@restauratto,Servicos para Casa,Servicos para Casa,Costura / sapataria,Listar,,3,2026-05-14,11974641848,"Av. Mascote, 889 - sobreloja da 5àSec.; Av. Mascote, 889 - sobreloja da 5àSec; Av. Mascote, 889 - sobreloja, em frente ao Pão de Açúcar, em cima da 5àSec.; Av. Mascote, 889 - sobreloja, em frente ao Pão de Açúcar, em cima da 5àSec",não,"🎫 R$ 15,00 DE DESCONTO EM QUALQUER SERVIÇO ACIMA DE R$ 100,00 Sabia que na @restauratto, seu tênis ganha um tratamento especial? 🤩✅ É o tênis day; se ele está desgastado, com cores apagadas, descolado, perdendo até alguns pedaços, vai sair renovado e radiante. A loja utiliza técnicas e equipamentos que vão tratar do seu companheiro com o cuidado e atenção que ele merece, de forma individual e focada nos problemas esp",https://www.instagram.com/p/DYUppEzurKU/; https://www.instagram.com/p/DXKkGlsDlsj/; https://www.instagram.com/p/DVv8WWpDvxp/
Thermo_tagg,@thermo_tagg,Servicos para Casa,Servicos para Casa,Ar-condicionado,Listar,,12,2026-05-05,11985665727,,sim,"🎫 10% OFF NA LIMPEZA Precisa de instalação, manutenção, limpeza ou higienização no seu ar-condicionado? Chama a @thermo_tagg! ☺️ A empresa atende em diversas regiões, inclusive aqui na Mascote e vai até a sua residência ou escritório. ❄️🧰 O diferencial da @thermo_tagg é que não precisa retirar a máquina da parede para fazer a limpeza. O profissional coloca uma capa protetora durante a realização, economizando custo e",https://www.instagram.com/p/DX9h1Nwuhcs/; https://www.instagram.com/p/DWtY5T_jso2/; https://www.instagram.com/p/DVb3Mozj2rO/; https://www.instagram.com/p/DUWaiW5Dsto/; https://www.instagram.com/p/DTLv0LaDo6f/; https://www.instagram.com/p/DRxhtLaDr5e/; https://www.instagram.com/p/DQjhKjQjilX/; https://www.instagram.com/p/DPgyj3sjlZ6/; https://www.instagram.com/p/DOJMht7jsyd/; https://www.instagram.com/p/DM-hZLeuOhw/; https://www.instagram.com/p/DLnj5UwuZhc/; https://www.instagram.com/p/DKc4ODiOduK/
